model,lo,hi,n,mean_p,empirical_rate,abs_calibration_error
reversal_burst,0.30000000000000004,0.4,1,0.3066641651175669,0.0,0.3066641651175669
reversal_burst,0.4,0.5,0,,,
reversal_burst,0.5,0.6000000000000001,0,,,
reversal_burst,0.6000000000000001,0.7000000000000001,2,0.6668286138377965,0.5,0.16682861383779646
reversal_burst,0.7000000000000001,0.8,2,0.7180192895920783,0.0,0.7180192895920783
reversal_burst,0.8,0.9,4,0.850807322554591,0.5,0.350807322554591
reversal_burst,0.9,1.0,503,0.9995602743115735,0.18886679920477137,0.8106934751068021
reversal_momentum_burst,0.0,0.1,504,0.00046137061627652483,0.1984126984126984,0.19795132779642188
reversal_momentum_burst,0.1,0.2,1,0.15964066627192636,0.0,0.15964066627192636
reversal_momentum_burst,0.2,0.30000000000000004,1,0.274398815909789,0.0,0.274398815909789
reversal_momentum_burst,0.30000000000000004,0.4,1,0.3836974556191428,0.0,0.3836974556191428
reversal_momentum_burst,0.4,0.5,0,,,
reversal_momentum_burst,0.5,0.6000000000000001,1,0.5290403976797953,0.0,0.5290403976797953
reversal_momentum_burst,0.6000000000000001,0.7000000000000001,1,0.6861729237686153,1.0,0.3138270762313847
reversal_momentum_burst,0.7000000000000001,0.8,1,0.7926240993771053,0.0,0.7926240993771053
reversal_momentum_burst,0.8,0.9,0,,,
reversal_momentum_burst,0.9,1.0,490,0.9995823693938491,0.2,0.7995823693938491
